id,property_id,suite,floor,sqft_number,rent_per_sqft_price,maintenance_per_sqft_price,is_vacant,status,description
1,1,401,4,2500,65,8,false,Occupied,"<img src=""https://images.unsplash.com/photo-1497366216548-37526070297c?w=800&h=500&fit=crop"" alt=""Modern Office Space"" style=""width: 486px; margin: 0px auto;"" /><h3>Premium Office Space</h3><p>Modern 2,500 sq ft office on the 4th floor with panoramic city views. Features include high-speed internet, 24/7 security, and ample parking. Perfect for IT companies and tech startups.</p><p><strong>Amenities:</strong> Wi-Fi, AC, Power Backup, Cafeteria</p><ul><li>2,500 square feet</li><li>4th Floor Location</li><li>24/7 Security & Parking</li><li>High-speed Internet Ready</li></ul>"
2,1,402,4,2000,65,8,false,Occupied,"<img src=""https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?w=800&h=500&fit=crop"" alt=""Medical Office"" style=""width: 486px; margin: 0px auto;"" /><h3>Medical Office Suite</h3><p>Well-designed 2,000 sq ft medical office with reception area, consultation rooms, and storage. Ideal for clinics and healthcare services with excellent patient accessibility.</p><p><strong>Features:</strong> Waiting Area, Private Rooms, Storage</p><ul><li>2,000 square feet</li><li>Multiple Consultation Rooms</li><li>Reception & Waiting Area</li><li>Ground Floor Access</li></ul>"
3,1,501,5,3000,70,8,true,Available,"<img src=""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=800&h=500&fit=crop"" alt=""Penthouse Office"" style=""width: 486px; margin: 0px auto;"" /><h3>Premium Penthouse Office</h3><p>Spacious 3,000 sq ft top-floor premium office with stunning skyline views. Features executive cabins, conference room, and modern interiors. Prime location for corporate headquarters.</p><p><strong>Premium Features:</strong> Top Floor, Skyline View, Executive Layout</p><ul><li>3,000 square feet</li><li>Top Floor (5th)</li><li>Executive Cabins</li><li>Conference Room</li><li>Panoramic City Views</li></ul>"
4,2,101,1,1200,35,5,false,Occupied,"<img src=""https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800&h=500&fit=crop"" alt=""Residential Unit"" style=""width: 486px; margin: 0px auto;"" /><h3>Ground Floor Residential Unit</h3><p>Cozy 1,200 sq ft ground floor apartment with garden access. Features 2 bedrooms, modern kitchen, and peaceful ambiance. Perfect for small families seeking comfort.</p><p><strong>Amenities:</strong> Garden, Parking, Security, Maintenance</p><ul><li>1,200 square feet</li><li>2 Bedrooms</li><li>Garden Access</li><li>Ground Floor Convenience</li></ul>"
5,2,201,2,1400,38,5,true,Available,"<img src=""https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800&h=500&fit=crop"" alt=""Bright Apartment""  style=""width: 486px; margin: 0px auto;"" /><h3>Bright 2nd Floor Apartment</h3><p>Airy 1,400 sq ft second floor unit with natural lighting and balcony. Modern amenities, 2 bedrooms, spacious living area. Great for families looking for a peaceful residential space.</p><p><strong>Features:</strong> Balcony, Natural Light, Elevator Access</p><ul><li>1,400 square feet</li><li>2 Bedrooms</li><li>Balcony with Views</li><li>Elevator Access</li></ul>"
6,2,301,3,1600,40,5,false,Occupied,"<img src=""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&h=500&fit=crop"" alt=""Spacious Apartment"" style=""width: 486px; margin: 0px auto;"" /> <h3>Spacious 3rd Floor Unit</h3><p>Premium 1,600 sq ft residential unit on 3rd floor with excellent ventilation. 3 bedrooms, modular kitchen, and premium fixtures. Ideal for growing families seeking extra space.</p><p><strong>Premium Features:</strong> 3 Bedrooms, Modular Kitchen, Premium Finish</p><ul><li>1,600 square feet</li><li>3 Bedrooms</li><li>Modular Kitchen</li><li>Premium Fixtures</li></ul>"
7,2,401,4,1400,38,5,false,Occupied,"<img src=""https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=800&h=500&fit=crop"" alt=""Top Floor Apartment"" style=""width: 486px; margin: 0px auto;"" /><h3>Top Floor Residential</h3><p>Elegant 1,400 sq ft top floor apartment with terrace access. Features 2 bedrooms, contemporary design, and panoramic views. Perfect for professionals seeking a modern lifestyle.</p><p><strong>Special Features:</strong> Terrace Access, Top Floor, City Views</p><ul><li>1,400 square feet</li><li>2 Bedrooms</li><li>Terrace Access</li><li>Panoramic Views</li></ul>"
8,3,G01,0,800,80,10,false,Occupied,"<img src=""https://images.unsplash.com/photo-1555529902-5261145633bf?w=800&h=500&fit=crop"" alt=""Retail Space"" style=""width: 486px; margin: 0px auto;"" /><h3>Prime Ground Floor Retail</h3><p>High-visibility 800 sq ft retail space with street frontage. Perfect for food retail, convenience stores, or cafes. Heavy foot traffic area with excellent business potential.</p><p><strong>Business Advantages:</strong> Street Access, High Footfall, Display Windows</p><ul><li>800 square feet</li><li>Ground Floor</li><li>Street Frontage</li><li>High Visibility</li></ul>"
9,3,G02,0,600,75,10,true,Available,"<img src=""https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=800&h=500&fit=crop"" alt=""Compact Retail"" style=""width: 486px; margin: 0px auto;"" /><h3>Compact Retail Space</h3><p>Cozy 600 sq ft ground floor retail unit ideal for boutiques, salons, or service businesses. Corner location with good visibility and convenient customer access.</p><p><strong>Features:</strong> Corner Unit, Ground Access, Compact Layout</p><ul><li>600 square feet</li><li>Corner Location</li><li>Ground Floor</li><li>High Visibility</li></ul>"
10,3,201,2,1800,60,8,false,Occupied,"<img src=""https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=800&h=500&fit=crop"" alt=""Mixed Use Space"" style=""width: 486px; margin: 0px auto;"" /><h3>Mixed Use Office Space</h3><p>Versatile 1,800 sq ft second floor space suitable for office or showroom use. Open layout with flexible configuration options. Ideal for businesses needing display and work areas.</p><p><strong>Flexible Options:</strong> Open Layout, Multi-Purpose, Good Lighting</p><ul><li>1,800 square feet</li><li>Open Floor Plan</li><li>Flexible Configuration</li><li>Natural Lighting</li></ul>"
