id,concept_id,question_type,difficulty_level,question_html,option_a,option_b,option_c,option_d,correct_answer,hint_html,solution_html,marks_number,is_active
1,1,MCQ,Easy,"<p>If the HCF of 65 and 117 is expressible in the form 65m - 117, then the value of m is:</p>",1,2,3,4,B,"<p>Use Euclid's division algorithm to find HCF first.</p>","<p>HCF(65, 117) = 13<br>65m - 117 = 13<br>65m = 130<br>m = 2</p>",1,true
2,1,MCQ,Medium,"<p>Using Euclid's division algorithm, find the HCF of 867 and 255:</p>",51,17,3,255,A,"<p>Apply the algorithm: divide larger by smaller repeatedly.</p>","<p>867 = 255 × 3 + 102<br>255 = 102 × 2 + 51<br>102 = 51 × 2 + 0<br>HCF = 51</p>",1,true
3,2,MCQ,Easy,"<p>The prime factorization of 156 is:</p>",2² × 3 × 13,2 × 3² × 13,2² × 3² × 13,2 × 3 × 13²,A,"<p>Divide by smallest primes successively.</p>","<p>156 = 2 × 78 = 2 × 2 × 39 = 4 × 39 = 2² × 3 × 13</p>",1,true
4,2,MCQ,Medium,"<p>Find the LCM of 12, 15 and 21:</p>",60,420,84,140,B,"<p>LCM = product of highest powers of all prime factors.</p>","<p>12 = 2² × 3<br>15 = 3 × 5<br>21 = 3 × 7<br>LCM = 2² × 3 × 5 × 7 = 420</p>",1,true
5,3,MCQ,Easy,"<p>Which of the following is an irrational number?</p>",√4,√9,√2,√16,C,"<p>Check if the square root results in a terminating or repeating decimal.</p>","<p>√4 = 2, √9 = 3, √16 = 4 are rational.<br>√2 = 1.41421356... is non-terminating non-repeating, hence irrational.</p>",1,true
6,3,MCQ,Hard,"<p>Prove that √5 is irrational. If √5 = p/q where p and q are co-prime, then:</p>",5 divides p only,5 divides q only,5 divides both p and q,5 divides neither p nor q,C,"<p>Assume √5 is rational and derive a contradiction.</p>","<p>If √5 = p/q, then 5 = p²/q², so p² = 5q².<br>This means 5 divides p². Since 5 is prime, 5 divides p.<br>Let p = 5k. Then 25k² = 5q², so q² = 5k².<br>Hence 5 divides q too, contradicting that p,q are co-prime.</p>",1,true
7,5,MCQ,Easy,"<p>If p(x) = x² - 3x + 2, then p(1) is:</p>",0,1,2,-1,A,"<p>Substitute x = 1 in the polynomial.</p>","<p>p(1) = 1² - 3(1) + 2 = 1 - 3 + 2 = 0</p>",1,true
8,6,MCQ,Medium,"<p>If α and β are zeros of x² - 5x + 6, then α + β is:</p>",5,6,-5,-6,A,"<p>Use the relationship: sum of zeros = -b/a</p>","<p>For ax² + bx + c, sum of zeros = -b/a<br>Here a = 1, b = -5<br>α + β = -(-5)/1 = 5</p>",1,true
9,6,MCQ,Medium,"<p>If α and β are zeros of x² - 5x + 6, then αβ is:</p>",5,6,-5,-6,B,"<p>Use the relationship: product of zeros = c/a</p>","<p>For ax² + bx + c, product of zeros = c/a<br>Here a = 1, c = 6<br>αβ = 6/1 = 6</p>",1,true
10,12,MCQ,Easy,"<p>Which of the following is a quadratic equation?</p>",x³ - x² + 5 = 0,x² + 2x - 3 = 0,x + 5 = 0,2x - 1 = 0,B,"<p>A quadratic equation has degree 2.</p>","<p>x² + 2x - 3 = 0 is of degree 2, hence quadratic.</p>",1,true
11,13,MCQ,Medium,"<p>Solve by factorization: x² - 7x + 12 = 0</p>",x = 3 or x = 4,x = -3 or x = -4,x = 3 or x = -4,x = -3 or x = 4,A,"<p>Find two numbers that multiply to 12 and add to -7.</p>","<p>x² - 7x + 12 = 0<br>(x - 3)(x - 4) = 0<br>x = 3 or x = 4</p>",1,true
12,15,MCQ,Hard,"<p>Using the quadratic formula, solve: 2x² - 5x + 2 = 0</p>","x = 2 or x = 1/2","x = -2 or x = -1/2","x = 2 or x = -1/2","x = -2 or x = 1/2",A,"<p>x = (-b ± √(b²-4ac)) / 2a</p>","<p>a = 2, b = -5, c = 2<br>x = (5 ± √(25-16))/4 = (5 ± 3)/4<br>x = 8/4 = 2 or x = 2/4 = 1/2</p>",1,true
13,16,MCQ,Medium,"<p>The discriminant of 3x² - 2x + 1/3 = 0 is:</p>",0,4,-4,1,A,"<p>Discriminant D = b² - 4ac</p>","<p>D = (-2)² - 4(3)(1/3) = 4 - 4 = 0<br>Equal real roots exist.</p>",1,true
14,17,MCQ,Easy,"<p>Which of the following is an AP?</p>","1, 3, 5, 7, ...","1, 2, 4, 8, ...","1, 4, 9, 16, ...","1, 1/2, 1/3, 1/4, ...",A,"<p>In AP, the common difference is constant.</p>","<p>1, 3, 5, 7... has common difference d = 2, constant throughout.</p>",1,true
15,18,MCQ,Medium,"<p>Find the 10th term of AP: 2, 7, 12, ...</p>",45,47,49,52,B,"<p>aₙ = a + (n-1)d</p>","<p>a = 2, d = 5<br>a₁₀ = 2 + (10-1)×5 = 2 + 45 = 47</p>",1,true
16,19,MCQ,Medium,"<p>Find the sum of first 20 terms of AP: 1, 4, 7, ...</p>",590,610,570,530,A,"<p>Sₙ = n/2[2a + (n-1)d]</p>","<p>a = 1, d = 3, n = 20<br>S₂₀ = 20/2[2(1) + 19(3)] = 10[2 + 57] = 10 × 59 = 590</p>",1,true
17,28,MCQ,Easy,"<p>In a right triangle ABC with right angle at B, if AB = 3 and BC = 4, then sin A is:</p>",3/5,4/5,3/4,4/3,B,"<p>sin A = opposite/hypotenuse</p>","<p>AC = √(3² + 4²) = 5<br>sin A = BC/AC = 4/5</p>",1,true
18,29,MCQ,Easy,"<p>The value of sin 30° is:</p>",1/2,√3/2,1,1/√2,A,"<p>Recall standard angle values.</p>","<p>sin 30° = 1/2 (standard value)</p>",1,true
19,31,MCQ,Medium,"<p>Simplify: sin²θ + cos²θ</p>",0,1,2,sin 2θ,B,"<p>This is a fundamental trigonometric identity.</p>","<p>sin²θ + cos²θ = 1 (Pythagorean identity)</p>",1,true
20,31,MCQ,Hard,"<p>Prove: (1 + tan²θ) equals:</p>",sec²θ,cosec²θ,cot²θ,sin²θ,A,"<p>Express tan in terms of sin and cos.</p>","<p>1 + tan²θ = 1 + sin²θ/cos²θ = (cos²θ + sin²θ)/cos²θ = 1/cos²θ = sec²θ</p>",1,true
21,32,MCQ,Easy,"<p>What is the central theme of 'A Letter to God'?</p>",The importance of education,Unshakeable faith in God,The beauty of nature,The power of money,B,"<p>Think about Lencho's character throughout the story.</p>","<p>The story revolves around Lencho's unwavering faith in God, even when his crops are destroyed.</p>",1,true
22,33,MCQ,Medium,"<p>How would you describe Lencho's character?</p>",Cunning and shrewd,Simple and faithful,Lazy and careless,Educated and modern,B,"<p>Consider his actions and beliefs in the story.</p>","<p>Lencho is portrayed as a simple, hardworking farmer with deep, innocent faith in God.</p>",1,true
23,34,MCQ,Medium,"<p>The irony in 'A Letter to God' is that:</p>",Lencho's crops were destroyed,The post office employees helped Lencho,Lencho called the helpful employees thieves,God actually replied to Lencho,C,"<p>Think about who actually sent the money and what Lencho believed.</p>","<p>The irony is that Lencho called the very people who helped him 'thieves' because he believed only God could have sent him money.</p>",1,true
24,36,MCQ,Easy,"<p>What was apartheid?</p>",A system of racial segregation,A political party,A type of government,An economic policy,A,"<p>Think about the context of South African history.</p>","<p>Apartheid was a system of institutionalized racial segregation that existed in South Africa.</p>",1,true
25,37,MCQ,Medium,"<p>According to Mandela, what is the greatest wealth of a nation?</p>",Gold and diamonds,Its people,Its military power,Its land,B,"<p>Recall Mandela's speech about South Africa's treasures.</p>","<p>Mandela believed that the greatest wealth of a nation lies in its people, not material resources.</p>",1,true
